"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"3RP/1610N";"3RP/1610N";"COMPGAIN";"16mm Potentiometer one level";"";
"1";"";"4PDT-TOGGLE-SWITCH";"4PDT";"EQ/VCA-ROUTING";"";"";
"2";"";"LED5MM";"LED5MM";"LED1, LED2";"LEDs";"";
"9";"";"M01PTH";"1X01";"48VIN, 48VSWITCH-CIRCUITSIDE, 48VSWITCH-POWERSIDE, PAD-L-CIRCUIT, PAD-L-OFF, PAD-L-ON, PAD-R-CIRCUIT, PAD-R-OFF, PAD-R-ON";"Header 1";"";
"1";"";"M01PTH_2MM";"1X01_2MM";"PEAKGND";"Header 1";"";
"1";"";"M03PTH";"1X03";"POLARITYSWITCH";"Header 3";"";
"3";"";"M03SCREW";"SCREWTERMINAL-3.5MM-3";"INPUT, OUTPUT, POWER";"Header 3";"";
"2";"";"M9040P2";"M9040P2";"KNEE, VAR/MAN-ATTACK/RELEASE";"TOGGLE SWITCH";"";
"1";"1000µF";"CPOL-EUE5-10.5";"E5-10,5";"C6";"POLARIZED CAPACITOR, European symbol";"";
"2";"100K";"R-EU_R0805";"R0805";"R8, R9";"RESISTOR, European symbol";"";
"3";"100R";"R-EU_R0805";"R0805";"R16, R17, R43";"RESISTOR, European symbol";"";
"5";"100k";"R-EU_R0805";"R0805";"R23, R30, R31, R33, R45";"RESISTOR, European symbol";"";
"6";"100n";"C-EU050-030X075";"C050-030X075";"5532+BY, 5532-BY, LM393+BY, LM393-BY, THAT+BY, THAT-BY";"CAPACITOR, European symbol";"";
"2";"100n BYP";"C-EU050-025X075";"C050-025X075";"C14, C15";"CAPACITOR, European symbol";"";
"1";"100n MY";"C-EU050-030X075";"C050-030X075";"C26";"CAPACITOR, European symbol";"";
"4";"100nF BYP";"C-EU050-025X075";"C050-025X075";"C34, C35, C36, C37";"CAPACITOR, European symbol";"";
"3";"100r";"R-EU_R0805";"R0805";"R32, R87, R88";"RESISTOR, European symbol";"";
"2";"10R";"R-EU_R0805";"R0805";"R3, R4";"RESISTOR, European symbol";"";
"4";"10V";"DIODE-ZENERPTH";"DIODE-ZENER";"D1, D2, D3, D4";"Zener Diode";"";
"7";"10k";"3RP/1610N";"3RP/1610N";"ATTACK, HIGAIN, LOWGAIN, MIDGAIN1, MIDGAIN2, PREGAIN, RATIO";"16mm Potentiometer one level";"";
"6";"10k";"R-EU_R0805";"R0805";"R75, R76, R78, R80, R83, R84";"RESISTOR, European symbol";"";
"2";"10n";"C-EU050-025X075";"C050-025X075";"C19, C21";"CAPACITOR, European symbol";"";
"1";"10µ";"CPOL-EUE2,5-6E";"E2,5-6E";"C38";"POLARIZED CAPACITOR, European symbol";"";
"1";"10µ";"CPOL-EUE2.5-6";"E2,5-6";"C3";"POLARIZED CAPACITOR, European symbol";"";
"1";"10µ V  BYP";"CPOL-EUE2,5-6E";"E2,5-6E";"C39";"POLARIZED CAPACITOR, European symbol";"";
"2";"10µF";"CPOL-EUE15-5AXIAL";"E15-5";"C7, C8";"POLARIZED CAPACITOR, European symbol";"";
"2";"10µF BYP";"CPOL-EUE2.5-6";"E2,5-6";"C4, C5";"POLARIZED CAPACITOR, European symbol";"";
"1";"127k";"R-EU_R0805";"R0805";"R68";"RESISTOR, European symbol";"";
"2";"12V??";"DIODE-ZENERPTH";"DIODE-ZENER";"D12, D13";"Zener Diode";"";
"1";"12k7";"R-EU_R0805";"R0805";"R69";"RESISTOR, European symbol";"";
"2";"150R";"R-EU_R0805";"R0805";"R5, R56";"RESISTOR, European symbol";"";
"1";"150n";"C-EU050-025X075";"C050-025X075";"C16";"CAPACITOR, European symbol";"";
"1";"15k";"R-EU_R0805";"R0805";"R66";"RESISTOR, European symbol";"";
"1";"18M";"R-EU_R0805";"R0805";"R71";"RESISTOR, European symbol";"";
"3";"1M";"3RP/1610N";"3RP/1610N";"LOWFREQ, MIDFREQ1, MIDFREQ2";"16mm Potentiometer one level";"";
"1";"1M8";"R-EU_R0805";"R0805";"R72";"RESISTOR, European symbol";"";
"7";"1N4148";"DIODE1N4148";"DIODE-1N4148";"D5, D6, D7, D8, D9, D10, D11";"Diode";"";
"1";"1k";"R-EU_R0805";"R0805";"R34";"RESISTOR, European symbol";"";
"1";"1k4";"R-EU_R0805";"R0805";"R65";"RESISTOR, European symbol";"";
"2";"1µ";"C-EU050-025X075";"C050-025X075";"C11, C12";"CAPACITOR, European symbol";"";
"2";"20k";"R-EU_R0805";"R0805";"R48, R58";"RESISTOR, European symbol";"";
"1";"220k";"R-EU_R0805";"R0805";"R59";"RESISTOR, European symbol";"";
"2";"220µF BYP";"CPOL-EUE5-10.5";"E5-10,5";"C9, C10";"POLARIZED CAPACITOR, European symbol";"";
"6";"22K";"R-EU_R0805";"R0805";"R10, R11, R12, R13, R14, R15";"RESISTOR, European symbol";"";
"5";"22k";"R-EU_R0805";"R0805";"R28, R29, R79, R81, R85";"RESISTOR, European symbol";"";
"3";"22n";"C-EU050-025X075";"C050-025X075";"C17, C18, C20";"CAPACITOR, European symbol";"";
