"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"3RP/1610N";"3RP/1610N";"GAIN";"16mm Potentiometer one level";"";
"2";"";"LED5MM";"LED5MM";"LED1, LED2";"LEDs";"";
"2";"";"M023.5MM";"SCREWTERMINAL-3.5MM-2";"INPUT, OUTPUT";"Header 2";"";
"6";"100n";"C-EU050-030X075";"C050-030X075";"5532+BY, 5532-BY, LM393+BY, LM393-BY, THAT+BY, THAT-BY";"CAPACITOR, European symbol";"";
"1";"100n MY";"C-EU050-030X075";"C050-030X075";"C3";"CAPACITOR, European symbol";"";
"2";"10k";"3RP/1610N";"3RP/1610N";"ATTACK, RATIO";"16mm Potentiometer one level";"";
"2";"10k";"R-EU_0207/7";"0207/7";"R34, R35";"RESISTOR, European symbol";"";
"1";"127k";"R-EU_0207/7";"0207/7";"R27";"RESISTOR, European symbol";"";
"1";"12k7";"R-EU_0207/7";"0207/7";"R28";"RESISTOR, European symbol";"";
"1";"150R";"R-EU_0207/7";"0207/7";"R10";"RESISTOR, European symbol";"";
"1";"15k";"R-EU_0207/7";"0207/7";"R23";"RESISTOR, European symbol";"";
"1";"18M";"R-EU_0207/7";"0207/7";"R30";"RESISTOR, European symbol";"";
"1";"1M8";"R-EU_0207/7";"0207/7";"R31";"RESISTOR, European symbol";"";
"7";"1N4148";"DIODE1N4148";"DIODE-1N4148";"D1, D2, D3, D4, D5, D6, D7";"Diode";"";
"1";"1k4";"R-EU_0207/7";"0207/7";"R22";"RESISTOR, European symbol";"";
"2";"20k";"R-EU_0207/7";"0207/7";"R2, R12";"RESISTOR, European symbol";"";
"1";"220k";"R-EU_0207/7";"0207/7";"R14";"RESISTOR, European symbol";"";
"1";"22p";"C-EU050-030X075";"C050-030X075";"C9";"CAPACITOR, European symbol";"";
"1";"22µ";"CPOL-EUE2.5-6";"E2,5-6";"C4";"POLARIZED CAPACITOR, European symbol";"";
"1";"28k8";"R-EU_0207/7";"0207/7";"R3";"RESISTOR, European symbol";"";
"2";"2M";"R-EU_0207/7";"0207/7";"R4, R11";"RESISTOR, European symbol";"";
"3";"2N3904";"2N3904";"TO92";"T1, T2, T3";"NPN TRANSISTOR";"";
"3";"2N3906";"2N3906";"TO92";"Q1, Q2, Q3";"PNP Transistor";"";
"1";"2SK170"";"2SK170"";"TO92-";"U$1";"";"";
"1";"2n";"C-EU050-030X075";"C050-030X075";"C7";"CAPACITOR, European symbol";"";
"1";"300k 5%";"R-EU_0207/7";"0207/7";"R5";"RESISTOR, European symbol";"";
"1";"30k";"R-EU_0207/7";"0207/7";"R36";"RESISTOR, European symbol";"";
"4";"30k1";"R-EU_0207/7";"0207/7";"R8, R18, R19, R21";"RESISTOR, European symbol";"";
"1";"470n";"C-EU050-030X075";"C050-030X075";"C6";"CAPACITOR, European symbol";"";
"1";"47p NPO 5%";"C-EU050-030X075";"C050-030X075";"C8";"CAPACITOR, European symbol";"";
"2";"47µ";"CPOL-EUE2.5-6";"E2,5-6";"C1, C2";"POLARIZED CAPACITOR, European symbol";"";
"1";"4µ7";"CPOL-EUE2.5-6";"E2,5-6";"C10";"POLARIZED CAPACITOR, European symbol";"";
"2";"50k";"3RP/1610N";"3RP/1610N";"RELEASE, THRESHOLD";"16mm Potentiometer one level";"";
"1";"50k";"TRIM_EU-B64W";"B64W";"SYMMETRY";"POTENTIOMETER";"";
"1";"50n";"C-EU050-030X075";"C050-030X075";"C5";"CAPACITOR, European symbol";"";
"1";"510R";"R-EU_0207/7";"0207/7";"R29";"RESISTOR, European symbol";"";
"1";"51R";"R-EU_0207/7";"0207/7";"R32";"RESISTOR, European symbol";"";
"1";"51R 5%";"R-EU_0207/7";"0207/7";"R6";"RESISTOR, European symbol";"";
"2";"590k";"R-EU_0207/7";"0207/7";"R9, R17";"RESISTOR, European symbol";"";
"2";"5k1";"R-EU_0207/7";"0207/7";"R24, R33";"RESISTOR, European symbol";"";
"2";"5k1 3300ppm";"R-EU_0207/7";"0207/7";"R7, R16";"RESISTOR, European symbol";"";
"1";"HARD/SOFT KNEE";"M9040P2";"M9040P2";"S2";"TOGGLE SWITCH";"";
"1";"LM393N";"LM393N";"DIL08";"IC2";"COMPARATOR";"";
"1";"NE5532N";"NE5532N";"DIL08";"IC1";"AUDIO AMPLIFIER";"";
"1";"POWER";"M03SCREW";"SCREWTERMINAL-3.5MM-3";"JP1";"Header 3";"";
"1";"THAT4301P20-I";"THAT4301P20-I";"DIL20";"U1";"THAT Analog Engine®";"";
"1";"VAR ATTACK/RELEASE";"M9040P2";"M9040P2";"S1";"TOGGLE SWITCH";"";
